case_id,benchmark_id,family,label,mode,coeff,maxdim,threshold_label,threshold_value,matrix_size,distance_matrix_hash,point_cloud_hash,exact_all_libraries,mismatch_dimensions
tfim_pbc_n4_g0p50__quantized__p2__h2__selected,tfim_pbc_n4_g0p50__quantized,A,"TFIM PBC N=4, g=0.50",quantized,2,2,selected,1.119140625,4,499f4a50645bb879c7d11bef88e7c03c1206d892b87b035c08f9450c923610e2,,True,
tfim_pbc_n4_g0p50__quantized__p2__h2__full,tfim_pbc_n4_g0p50__quantized,A,"TFIM PBC N=4, g=0.50",quantized,2,2,full,1.140625,4,499f4a50645bb879c7d11bef88e7c03c1206d892b87b035c08f9450c923610e2,,False,"1,2"
tfim_pbc_n4_g0p50__quantized__p3__h1__selected,tfim_pbc_n4_g0p50__quantized,A,"TFIM PBC N=4, g=0.50",quantized,3,1,selected,1.119140625,4,499f4a50645bb879c7d11bef88e7c03c1206d892b87b035c08f9450c923610e2,,True,
tfim_pbc_n4_g0p50__quantized__p3__h1__full,tfim_pbc_n4_g0p50__quantized,A,"TFIM PBC N=4, g=0.50",quantized,3,1,full,1.140625,4,499f4a50645bb879c7d11bef88e7c03c1206d892b87b035c08f9450c923610e2,,False,1
tfim_pbc_n4_g0p50__quantized__p3__h2__selected,tfim_pbc_n4_g0p50__quantized,A,"TFIM PBC N=4, g=0.50",quantized,3,2,selected,1.119140625,4,499f4a50645bb879c7d11bef88e7c03c1206d892b87b035c08f9450c923610e2,,True,
tfim_pbc_n4_g0p50__quantized__p3__h2__full,tfim_pbc_n4_g0p50__quantized,A,"TFIM PBC N=4, g=0.50",quantized,3,2,full,1.140625,4,499f4a50645bb879c7d11bef88e7c03c1206d892b87b035c08f9450c923610e2,,False,"1,2"
tfim_pbc_n4_g1p00__floating__p2__h1__selected,tfim_pbc_n4_g1p00__floating,A,"TFIM PBC N=4, g=1.00",floating,2,1,selected,1.7308043394454913,4,4ea00fb970ef00d9e7dd5695a4a2bae52dd8adbba3d4f7c78cdfb2dc94c9028d,,False,"0,1"
tfim_pbc_n4_g1p00__floating__p2__h1__full,tfim_pbc_n4_g1p00__floating,A,"TFIM PBC N=4, g=1.00",floating,2,1,full,2.0553334879376455,4,4ea00fb970ef00d9e7dd5695a4a2bae52dd8adbba3d4f7c78cdfb2dc94c9028d,,False,"0,1"
tfim_pbc_n4_g1p00__floating__p2__h2__selected,tfim_pbc_n4_g1p00__floating,A,"TFIM PBC N=4, g=1.00",floating,2,2,selected,1.7308043394454913,4,4ea00fb970ef00d9e7dd5695a4a2bae52dd8adbba3d4f7c78cdfb2dc94c9028d,,False,"0,1"
tfim_pbc_n4_g1p00__floating__p2__h2__full,tfim_pbc_n4_g1p00__floating,A,"TFIM PBC N=4, g=1.00",floating,2,2,full,2.0553334879376455,4,4ea00fb970ef00d9e7dd5695a4a2bae52dd8adbba3d4f7c78cdfb2dc94c9028d,,False,"0,1,2"
tfim_pbc_n4_g1p00__floating__p3__h1__selected,tfim_pbc_n4_g1p00__floating,A,"TFIM PBC N=4, g=1.00",floating,3,1,selected,1.7308043394454913,4,4ea00fb970ef00d9e7dd5695a4a2bae52dd8adbba3d4f7c78cdfb2dc94c9028d,,False,"0,1"
tfim_pbc_n4_g1p00__floating__p3__h1__full,tfim_pbc_n4_g1p00__floating,A,"TFIM PBC N=4, g=1.00",floating,3,1,full,2.0553334879376455,4,4ea00fb970ef00d9e7dd5695a4a2bae52dd8adbba3d4f7c78cdfb2dc94c9028d,,False,"0,1"
tfim_pbc_n4_g1p00__floating__p3__h2__selected,tfim_pbc_n4_g1p00__floating,A,"TFIM PBC N=4, g=1.00",floating,3,2,selected,1.7308043394454913,4,4ea00fb970ef00d9e7dd5695a4a2bae52dd8adbba3d4f7c78cdfb2dc94c9028d,,False,"0,1"
tfim_pbc_n4_g1p00__floating__p3__h2__full,tfim_pbc_n4_g1p00__floating,A,"TFIM PBC N=4, g=1.00",floating,3,2,full,2.0553334879376455,4,4ea00fb970ef00d9e7dd5695a4a2bae52dd8adbba3d4f7c78cdfb2dc94c9028d,,False,"0,1,2"
tfim_pbc_n4_g1p00__quantized__p2__h1__selected,tfim_pbc_n4_g1p00__quantized,A,"TFIM PBC N=4, g=1.00",quantized,2,1,selected,1.73046875,4,7d7b9bbefb71261881e2ad3115814a3d0c9473e29a4434d5a3e2cac8fc7ec412,,True,
tfim_pbc_n4_g1p00__quantized__p2__h1__full,tfim_pbc_n4_g1p00__quantized,A,"TFIM PBC N=4, g=1.00",quantized,2,1,full,2.0556640625,4,7d7b9bbefb71261881e2ad3115814a3d0c9473e29a4434d5a3e2cac8fc7ec412,,False,1
tfim_pbc_n4_g1p00__quantized__p2__h2__selected,tfim_pbc_n4_g1p00__quantized,A,"TFIM PBC N=4, g=1.00",quantized,2,2,selected,1.73046875,4,7d7b9bbefb71261881e2ad3115814a3d0c9473e29a4434d5a3e2cac8fc7ec412,,True,
tfim_pbc_n4_g1p00__quantized__p2__h2__full,tfim_pbc_n4_g1p00__quantized,A,"TFIM PBC N=4, g=1.00",quantized,2,2,full,2.0556640625,4,7d7b9bbefb71261881e2ad3115814a3d0c9473e29a4434d5a3e2cac8fc7ec412,,False,"1,2"
tfim_pbc_n4_g1p00__quantized__p3__h1__selected,tfim_pbc_n4_g1p00__quantized,A,"TFIM PBC N=4, g=1.00",quantized,3,1,selected,1.73046875,4,7d7b9bbefb71261881e2ad3115814a3d0c9473e29a4434d5a3e2cac8fc7ec412,,True,
tfim_pbc_n4_g1p00__quantized__p3__h1__full,tfim_pbc_n4_g1p00__quantized,A,"TFIM PBC N=4, g=1.00",quantized,3,1,full,2.0556640625,4,7d7b9bbefb71261881e2ad3115814a3d0c9473e29a4434d5a3e2cac8fc7ec412,,False,1
tfim_pbc_n4_g1p00__quantized__p3__h2__selected,tfim_pbc_n4_g1p00__quantized,A,"TFIM PBC N=4, g=1.00",quantized,3,2,selected,1.73046875,4,7d7b9bbefb71261881e2ad3115814a3d0c9473e29a4434d5a3e2cac8fc7ec412,,True,
tfim_pbc_n4_g1p00__quantized__p3__h2__full,tfim_pbc_n4_g1p00__quantized,A,"TFIM PBC N=4, g=1.00",quantized,3,2,full,2.0556640625,4,7d7b9bbefb71261881e2ad3115814a3d0c9473e29a4434d5a3e2cac8fc7ec412,,False,"1,2"
